iter	Passed	Remaining
224	15977	55033
225	16055	54986
226	16148	54990
227	16210	54888
228	16283	54824
229	16342	54712
230	16403	54607
231	16471	54525
232	16538	54443
233	16620	54407
234	16688	54327
235	16760	54258
236	16863	54289
237	16957	54291
238	17032	54234
239	17122	54219
240	17181	54110
241	17268	54087
242	17349	54049
243	17410	53942
244	17482	53875
245	17547	53783
246	17629	53745
247	17706	53690
248	17771	53599
249	17823	53471
250	17895	53401
251	17957	53303
252	18038	53260
253	18084	53114
254	18148	53021
255	18226	52970
256	18297	52898
257	18351	52777
258	18435	52742
259	18499	52651
260	18578	52603
261	18652	52539
262	18713	52441
263	18769	52327
264	18852	52290
265	18943	52272
266	19040	52272
267	19118	52218
268	19194	52159
269	19261	52078
270	19331	52003
271	19408	51945
272	19496	51920
273	19577	51874
274	19671	51861
275	19792	51919
276	19873	51870
277	19950	51812
278	20013	51720
279	20111	51715
280	20187	51654
281	20251	51561
282	20322	51488
283	20390	51408
284	20468	51351
285	20533	51262
286	20614	51212
287	20665	51090
288	20723	50983
289	20783	50884
290	20842	50779
291	20921	50726
292	20988	50644
293	21048	50544
294	21113	50458
295	21178	50370
296	21259	50322
297	21334	50256
298	21401	50175
299	21463	50082
300	21525	49987
301	21593	49908
302	21661	49829
303	21737	49767
304	21801	49677
305	21847	49550
306	21931	49506
307	21998	49424
308	22066	49345
309	22122	49239
310	22189	49158
311	22264	49095
312	22307	48962
313	22389	48915
314	22483	48893
315	22566	48847
316	22626	48750
317	22685	48652
318	22749	48566
319	22829	48512
320	22912	48466
321	22978	48383
322	23045	48301
323	23113	48223
324	23177	48136
325	23243	48054
326	23312	47980
327	23378	47897
328	23462	47852
329	23519	47751
330	23599	47698
331	23655	47596
332	23700	47472
333	23752	47363
334	23810	47264
335	23883	47198
336	23943	47105
337	24007	47020
338	24068	46930
339	24145	46871
340	24215	46797
341	24263	46683
342	24331	46605
343	24391	46514
344	24460	46439
345	24533	46373
346	24600	46293
347	24657	46197
348	24709	46091
349	24779	46018
350	24835	45920
351	24934	45901
352	25014	45848
353	25089	45784
354	25158	45709
355	25221	45626
356	25281	45535
357	25360	45478
358	25424	45395
359	25481	45300
360	25537	45203
361	25601	45121
362	25659	45027
363	25721	44942
364	25773	44838
365	25828	44740
366	25883	44643
367	25958	44580
368	26020	44495
369	26067	44385
370	26114	44275
371	26174	44187
372	26221	44077
373	26282	43991
374	26367	43946
375	26431	43865
376	26511	43811
377	26599	43768
378	26645	43658
379	26707	43574
380	26752	43463
381	26799	43355
382	26857	43266
383	26917	43180
384	26963	43071
385	27033	43001
386	27120	42958
387	27188	42884
388	27260	42818
389	27356	42788
390	27428	42720
391	27500	42654
392	27584	42605
393	27659	42541
394	27721	42459
395	27789	42386
396	27832	42274
397	27891	42188
398	27955	42108
399	28014	42021
400	28071	41931
401	28138	41857
402	28210	41790
403	28271	41706
404	28318	41604
405	28376	41516
406	28439	41436
407	28502	41357
408	28576	41293
409	28658	41240
410	28721	41160
411	28781	41076
412	28848	41002
413	28894	40898
414	28973	40842
415	29034	40760
416	29088	40668
417	29133	40563
418	29221	40519
419	29287	40444
420	29361	40380
421	29452	40340
422	29524	40273
423	29607	40221
424	29731	40225
425	29803	40158
426	29875	40090
427	29960	40041
428	30076	40031
429	30134	39945
430	30211	39884
431	30302	39842
432	30372	39771
433	30472	39740
434	30534	39659
435	30587	39567
436	30639	39474
437	30728	39427
438	30793	39351
439	30887	39311
440	30941	39220
441	31025	39168
442	31108	39113
443	31171	39034
444	31236	38958
445	31287	38863
446	31370	38809
447	31439	38738
448	31516	38676
449	31580	38598
450	31664	38544
451	31726	38464
452	31811	38412
453	31874	38333
454	31954	38275
455	32012	38190
456	32079	38116
457	32173	38074
458	32251	38013
459	32342	37966
460	32436	37924
461	32484	37828
462	32563	37768
463	32636	37700
464	32710	37635
465	32789	37574
466	32865	37509
467	32942	37447
468	33053	37422
469	33143	37375
470	33208	37297
471	33295	37245
472	33383	37194
473	33453	37123
474	33491	37017
475	33545	36928
476	33639	36884
477	33698	36800
478	33783	36745
479	33866	36689
480	33933	36613
481	34036	36578
482	34080	36479
483	34146	36404
484	34221	36338
485	34287	36262
486	34365	36200
487	34441	36134
488	34535	36089
489	34599	36011
490	34673	35944
491	34737	35867
492	34839	35828
493	34927	35775
494	35005	35713
495	35102	35668
496	35179	35604
497	35250	35533
498	35316	35457
499	35406	35406
500	35462	35321
501	35528	35245
502	35606	35181
503	35676	35109
504	35747	35039
505	35793	34944
506	35859	34868
507	35923	34791
508	35995	34722
509	36050	34636
510	36124	34569
511	36175	34479
512	36238	34401
513	36316	34338
514	36392	34272
515	36478	34216
516	36565	34161
517	36635	34089
518	36702	34015
519	36774	33945
520	36845	33875
521	36911	33800
522	36993	33739
523	37066	33671
524	37156	33617
525	37230	33550
526	37279	33459
527	37335	33375
528	37396	33296
529	37463	33222
530	37521	33140
531	37587	33065
532	37650	32988
533	37716	32913
534	37810	32862
535	37868	32781
536	37947	32718
537	38011	32641
538	38087	32575
539	38139	32489
540	38210	32418
541	38278	32345
542	38352	32277
543	38397	32185
544	38467	32114
545	38543	32048
546	38605	31971
547	38682	31906
548	38760	31841
549	38831	31771
550	38893	31693
551	38961	31620
552	38999	31523
553	39045	31433
554	39101	31352
555	39156	31268
556	39223	31195
557	39269	31106
558	39354	31046
559	39399	30956
560	39450	30871
561	39515	30796
562	39556	30704
563	39622	30630
564	39688	30556
565	39755	30483
566	39813	30404
567	39877	30329
568	39952	30262
569	39997	30173
570	40040	30082
571	40101	30006
572	40175	29938
573	40213	29844
574	40288	29778
575	40364	29712
576	40428	29638
577	40488	29560
578	40565	29495
579	40631	29423
580	40711	29360
581	40778	29287
582	40843	29214
583	40885	29123
584	40920	29029
585	40985	28955
586	41060	28889
587	41098	28796
588	41181	28736
589	41226	28648
590	41304	28584
591	41374	28514
592	41456	28453
593	41527	28384
594	41628	28335
595	41710	28273
596	41774	28199
597	41846	28130
598	41908	28055
599	41991	27994
600	42069	27929
601	42137	27858
602	42201	27784
603	42261	27707
604	42332	27638
605	42393	27562
606	42470	27497
607	42550	27433
608	42614	27360
609	42681	27287
610	42725	27201
611	42795	27131
612	42868	27064
613	42939	26994
614	42999	26918
615	43090	26861
616	43166	26795
617	43249	26733
618	43327	26668
619	43401	26601
620	43479	26535
621	43535	26456
622	43593	26380
623	43659	26307
624	43733	26240
625	43803	26170
626	43865	26095
627	43940	26028
628	44019	25964
629	44071	25883
630	44102	25790
631	44154	25710
632	44215	25635
633	44277	25561
634	44318	25474
635	44376	25397
636	44473	25343
637	44529	25265
638	44605	25199
639	44680	25132
640	44765	25071
641	44840	25004
642	44880	24918
643	44939	24842
644	45027	24782
645	45092	24709
646	45168	24643
647	45241	24575
648	45307	24503
649	45373	24431
650	45432	24356
651	45573	24324
652	45632	24248
653	45697	24176
654	45781	24113
655	45863	24050
656	45912	23969
657	45990	23904
658	46077	23842
659	46159	23779
660	46226	23707
661	46296	23637
662	46373	23571
663	46455	23507
664	46548	23449
665	46593	23366
666	46663	23296
667	46739	23229
668	46814	23162
669	46894	23097
670	46967	23028
671	47021	22951
672	47092	22881
673	47170	22815
674	47241	22745
675	47311	22675
676	47375	22603
677	47428	22524
678	47503	22457
679	47574	22387
680	47663	22327
681	47729	22255
682	47814	22192
683	47882	22121
684	47966	22057
685	48035	21987
686	48106	21917
687	48169	21844
688	48243	21775
689	48327	21712
690	48390	21638
691	48459	21568
692	48543	21504
693	48607	21432
694	48675	21361
695	48768	21301
696	48844	21233
697	48924	21167
698	48974	21088
699	49047	21020
700	49117	20950
701	49204	20887
702	49302	20829
703	49389	20766
704	49460	20696
705	49521	20622
706	49588	20550
707	49644	20474
708	49675	20388
709	49764	20326
710	49858	20266
711	49942	20201
712	50014	20132
713	50082	20061
714	50133	19983
715	50215	19917
716	50284	19847
717	50374	19785
718	50448	19716
719	50525	19648
720	50614	19585
721	50679	19513
722	50745	19441
723	50817	19372
724	50882	19300
725	50911	19214
726	50958	19135
727	50992	19051
728	51053	18978
729	51111	18904
730	51169	18829
731	51216	18751
732	51249	18667
733	51302	18591
734	51363	18518
735	51415	18442
736	51470	18367
737	51509	18286
738	51550	18206
739	51600	18129
740	51632	18047
741	51693	17974
742	51760	17903
743	51825	17832
744	51872	17755
745	51923	17679
746	51972	17602
747	52025	17527
748	52062	17446
749	52125	17375
750	52177	17299
751	52234	17226
752	52282	17149
753	52337	17075
754	52395	17002
755	52456	16930
756	52509	16855
757	52569	16783
758	52619	16707
759	52673	16633
760	52725	16558
761	52775	16483
762	52828	16409
763	52878	16334
764	52926	16258
765	52961	16178
766	53023	16107
767	53081	16035
768	53135	15961
769	53187	15887
770	53237	15812
771	53297	15740
772	53359	15669
773	53405	15593
774	53441	15515
775	53498	15442
776	53566	15373
777	53639	15305
778	53712	15238
779	53761	15163
780	53834	15095
781	53884	15021
782	53921	14943
783	53984	14873
784	54034	14799
785	54094	14728
786	54166	14660
787	54227	14589
788	54312	14524
789	54388	14457
790	54430	14381
791	54522	14318
792	54581	14247
793	54648	14178
794	54709	14107
795	54782	14039
796	54887	13980
797	54968	13914
798	55051	13848
799	55103	13775
800	55154	13702
801	55214	13631
802	55263	13557
803	55314	13484
804	55380	13415
805	55460	13349
806	55513	13276
807	55568	13204
808	55624	13132
809	55678	13060
810	55733	12988
811	55787	12916
812	55818	12838
813	55867	12765
814	55941	12698
815	55976	12622
816	56034	12551
817	56072	12475
818	56128	12404
819	56154	12326
820	56208	12254
821	56265	12184
822	56331	12115
823	56428	12052
824	56481	11980
825	56559	11914
826	56598	11839
827	56680	11774
828	56773	11710
829	56854	11644
830	56938	11579
831	57013	11512
832	57056	11438
833	57085	11362
834	57134	11290
835	57164	11214
836	57206	11140
837	57247	11067
838	57297	10995
839	57328	10919
840	57369	10846
841	57430	10776
842	57489	10706
843	57527	10633
844	57585	10563
845	57633	10491
846	57681	10419
847	57732	10348
848	57786	10277
849	57846	10208
850	57882	10134
851	57903	10058
852	57951	9987
853	57981	9912
854	58033	9841
855	58084	9771
856	58130	9699
857	58167	9626
858	58200	9553
859	58252	9483
860	58303	9412
861	58362	9343
862	58425	9274
863	58483	9205
864	58536	9135
865	58618	9070
866	58698	9004
867	58787	8940
868	58851	8871
869	58924	8804
870	58947	8730
871	58984	8658
872	59055	8591
873	59099	8520
874	59136	8448
875	59189	8378
876	59239	8308
877	59285	8237
878	59345	8169
879	59385	8098
880	59445	8029
881	59478	7957
882	59524	7887
883	59561	7815
884	59612	7746
885	59669	7677
886	59713	7607
887	59761	7537
888	59812	7468
889	59841	7396
890	59885	7326
891	59952	7258
892	60002	7189
893	60069	7122
894	60116	7052
895	60152	6981
896	60220	6914
897	60270	6845
898	60318	6776
899	60363	6707
900	60429	6639
901	60490	6572
902	60524	6501
903	60560	6431
904	60602	6361
905	60661	6293
906	60755	6229
907	60813	6161
908	60870	6093
909	60917	6024
910	60969	5956
911	61023	5888
912	61071	5819
913	61117	5750
914	61162	5681
915	61222	5614
916	61272	5545
917	61308	5476
918	61359	5408
919	61407	5339
920	61436	5269
921	61492	5202
922	61549	5134
923	61589	5065
924	61623	4996
925	61668	4928
926	61736	4861
927	61786	4793
928	61833	4725
929	61877	4657
930	61924	4589
931	61961	4520
932	62007	4452
933	62056	4385
934	62119	4318
935	62210	4253
936	62283	4187
937	62340	4120
938	62405	4054
939	62457	3986
940	62512	3919
941	62553	3851
942	62602	3784
943	62648	3716
944	62693	3648
945	62752	3582
946	62802	3514
947	62863	3448
948	62910	3380
949	62937	3312
950	62967	3244
951	63018	3177
952	63075	3110
953	63114	3043
954	63165	2976
955	63218	2909
956	63264	2842
957	63317	2775
958	63357	2708
959	63410	2642
960	63457	2575
961	63504	2508
962	63561	2442
963	63618	2375
964	63683	2309
965	63704	2242
966	63756	2175
967	63800	2109
968	63848	2042
969	63881	1975
970	63923	1909
971	63975	1842
972	64011	1776
973	64070	1710
974	64128	1644
975	64178	1578
976	64230	1512
977	64276	1445
978	64317	1379
979	64377	1313
980	64416	1247
981	64455	1181
982	64514	1115
983	64569	1049
984	64623	984
985	64680	918
986	64728	852
987	64782	786
988	64843	721
989	64897	655
990	64958	589
991	65016	524
992	65062	458
993	65104	392
994	65142	327
995	65172	261
996	65229	196
997	65293	130
998	65350	65
999	65392	0
